date,open,high,low,close,volume,fear_greed,hash_rate,n_transactions,close_lag_1,close_lag_2,close_lag_3,close_lag_7,close_lag_14,close_lag_30,volume_lag_1,volume_lag_3,volume_lag_7,fear_greed_lag_1,fear_greed_lag_3,fear_greed_lag_7,hash_rate_lag_1,hash_rate_lag_3,hash_rate_lag_7,n_transactions_lag_1,n_transactions_lag_3,n_transactions_lag_7,return_1d,return_7d,return_30d,return_1d_lag_1,return_7d_lag_1,close_ma_7,close_ma_14,close_ma_30,volatility_7,volatility_14,volatility_30,fear_greed_ma_7,volume_ma_7,hash_rate_ma_7,fear_greed_ma_14,volume_ma_14,hash_rate_ma_14,rsi_14,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_width,day_of_week,day_of_month,month,quarter,is_weekend,dow_sin,dow_cos,month_sin,month_cos,target
2020-02-03,9331.59,9618.79,9234.0,9292.24,50892.133451,59.0,113785944.334335,331012.0,9331.51,9384.61,9352.89,8907.57,8642.35,7354.11,45690.91254,45552.022352,53973.542996,57.0,55.0,50.0,109941824.59331,110710648.541515,94755300.6505832,290879.0,334434.0,279240.0,-0.004208322125786812,0.043184617129026215,0.2635437870796058,-0.005658199967819688,0.08317005223447471,9364.314285714285,8976.804285714285,8628.27,0.023770639477757108,0.022908440399351023,0.02856346923706865,56.57142857142857,51398.399834714284,114400102.61394,51.357142857142854,44703.050275571426,112605144.04618144,65.27157470800245,368.1357164202909,344.3609509948986,23.77476542539233,9641.405907339045,8197.591092660954,0.15537855400614828,0,3,2,1,0,0.0,1.0,0.8660254037844386,0.5000000000000001,9197.02
2020-02-04,9291.35,9350.0,9093.01,9197.02,53308.175266,56.0,101484761.163056,309190.0,9292.24,9331.51,9384.61,9374.21,8736.03,7358.75,50892.133451,28578.067354,74584.853765,59.0,57.0,54.0,113785944.334335,116092416.17895,107321517.0167,331012.0,303724.0,340052.0,-0.01024726007937804,-0.018901859463357318,0.24980737217598104,-0.004208322125786812,0.043184617129026215,9339.00142857143,9009.732142857143,8689.545666666667,0.012773593030455709,0.023216759986278413,0.028731591517084067,56.857142857142854,48358.87433485714,113566280.34913372,51.857142857142854,45904.01367607142,111826613.14390843,62.11651031364633,347.730833107511,345.0349274174211,2.6959056900898872,9668.497352190618,8208.06064780938,0.15879455566925352,1,4,2,1,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,9612.04
2020-02-05,9197.02,9744.45,9177.22,9612.04,64870.415615,53.0,122243007.76459,368604.0,9197.02,9292.24,9331.51,9301.53,8682.36,7758.0,53308.175266,45690.91254,53864.065122,56.0,57.0,57.0,101484761.163056,109941824.59331,123011831.712795,309190.0,290879.0,340562.0,0.04512548629882285,0.03338268005371159,0.23898427429749947,-0.01024726007937804,-0.018901859463357318,9383.36,9076.137857142858,8751.347,0.021742044396929776,0.025442854456500755,0.028267732531106333,56.285714285714285,49931.21011957143,113456448.356533,51.92857142857143,48460.432138714285,112373413.31009951,69.12226735547392,360.8883651774704,348.205614969431,12.682750208039408,9761.677118135301,8204.0838818647,0.16204606267458319,2,5,2,1,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,9772.0
2020-02-06,9612.03,9862.57,9526.35,9772.0,64949.706588,61.0,103791233.007671,315370.0,9612.04,9197.02,9292.24,9513.21,8404.52,8145.28,64870.415615,50892.133451,60626.744259,53.0,59.0,57.0,122243007.76459,113785944.334335,119936535.919975,368604.0,331012.0,332558.0,0.016641628624100457,0.02720322583018775,0.19971320814017446,0.04512548629882285,0.03338268005371159,9420.33,9173.815,8805.571,0.021015644822747037,0.022805255097504744,0.027179556372836155,56.857142857142854,50548.77616657143,111149976.51191814,52.785714285714285,49659.27228092857,111444828.73343667,71.32346397264732,379.84462688268104,354.533417352081,25.311209530600024,9875.9478093699,8175.685190630101,0.17399330932662702,3,6,2,1,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,9813.73
2020-02-07,9772.0,9885.0,9730.0,9813.73,43966.114632,56.0,106866528.80049,334938.0,9772.0,9612.04,9197.02,9352.89,8439.0,8055.98,64949.706588,53308.175266,45552.022352,61.0,56.0,55.0,103791233.007671,101484761.163056,110710648.541515,315370.0,309190.0,334434.0,0.004270364306180774,0.049272470861947415,0.21819195181715934,0.016641628624100457,0.02720322583018775,9486.164285714285,9272.01,8864.162666666667,0.018930999468049995,0.02280135887967654,0.02698487276322535,57.0,50322.21792085714,110600816.54891457,53.92857142857143,49822.02835971429,111103176.74914794,71.88651758838023,393.6965740661635,362.3660486948976,31.330525371265935,9985.260181506275,8156.149818493722,0.18638278850269507,4,7,2,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,9895.05
2020-02-08,9813.87,9940.0,9667.11,9895.05,43600.843666,56.0,106866528.80049,318363.0,9813.73,9772.0,9612.04,9384.61,8340.58,7817.76,43966.114632,64870.415615,28578.067354,56.0,53.0,57.0,106866528.80049,122243007.76459,116092416.17895,334938.0,368604.0,303724.0,0.008286349838440676,0.05439117874903676,0.2657142199300053,0.004270364306180774,0.049272470861947415,9559.084285714285,9383.04357142857,8933.405666666666,0.01886383669062493,0.021875646443265083,0.026088710876317197,56.857142857142854,52468.32882257143,109282832.63770601,55.0,51113.43448357143,110131921.43827729,72.99910684237707,406.5497341208429,371.2027857800867,35.34694834075623,10095.17628087722,8165.568719122783,0.19500735840187142,5,8,2,1,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,10151.75
2020-02-09,9895.04,10166.0,9880.75,10151.75,43408.475616,56.0,117630064.07536,317070.0,9895.05,9813.73,9772.0,9331.51,8615.0,8197.02,43600.843666,64949.706588,45690.91254,56.0,61.0,57.0,106866528.80049,103791233.007671,109941824.59331,318363.0,315370.0,290879.0,0.025942264061323606,0.0879000290413876,0.23846837021258938,0.008286349838440676,0.05439117874903676,9676.261428571428,9492.811428571427,8998.563333333332,0.018903041025560174,0.0214513319708792,0.02519646104156305,56.714285714285715,52142.266404857146,110381152.56371315,56.0,51990.43380157143,111031295.89713001,76.20090428749032,432.4643212392293,383.45509287191527,49.00922836731405,10239.80219911548,8171.882800884521,0.20370078047932216,6,9,2,1,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,9851.83
2020-02-10,10151.72,10188.0,9756.0,9851.83,59573.084619,57.0,93796521.681006,298104.0,10151.75,9895.05,9813.73,9292.24,8907.57,8020.01,43408.475616,43966.114632,50892.133451,56.0,56.0,59.0,117630064.07536,106866528.80049,113785944.334335,317070.0,334938.0,331012.0,-0.02954367473588293,0.06022121684330162,0.22840619899476433,0.025942264061323606,0.0879000290413876,9756.202857142856,9560.25857142857,9059.624000000002,0.024250517188896467,0.023101820181295824,0.02555177091466489,56.42857142857143,53382.402286000004,107525520.75609471,56.5,52390.401060357144,110962811.68501735,66.30756218641665,423.9141621868039,391.546906734893,32.367255451910864,10308.502967629578,8214.762032370421,0.21252304752103485,0,10,2,1,0,0.0,1.0,0.8660254037844386,0.5000000000000001,10223.08
2020-02-11,9851.74,10323.59,9700.0,10223.08,62422.395224,52.0,114190850.876276,365583.0,9851.83,10151.75,9895.05,9197.02,9374.21,8184.98,59573.084619,43600.843666,53308.175266,57.0,56.0,56.0,93796521.681006,106866528.80049,101484761.163056,298104.0,318363.0,309190.0,0.03768335426007141,0.11156439803327589,0.24900488455683467,-0.02954367473588293,0.06022121684330162,9902.782857142856,9620.892142857143,9127.560666666666,0.024789741396706956,0.02115476549989535,0.026047036797319678,55.857142857142854,54684.43370857143,109340676.42941187,56.357142857142854,51521.65402171428,111453478.38927278,71.27847470123689,441.9997736165351,401.63748011122146,40.36229350531363,10429.523452782894,8247.813547217105,0.21341023503345266,1,11,2,1,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,10326.46
2020-02-12,10223.08,10450.0,10223.08,10326.46,61008.06393,61.0,109742275.18922,344615.0,10223.08,9851.83,10151.75,9612.04,9301.53,8110.34,62422.395224,43408.475616,64870.415615,52.0,56.0,53.0,114190850.876276,117630064.07536,122243007.76459,365583.0,317070.0,368604.0,0.01011241230627169,0.07432553339353531,0.273246251081952,0.03768335426007141,0.11156439803327589,10004.842857142856,9694.101428571428,9201.431333333334,0.021065259488934125,0.020769584205480023,0.025853245131665273,57.0,54132.66918214286,107554857.4900733,56.642857142857146,52031.939650857144,110505652.92330313,72.49539958914734,459.37921535075475,413.18582715912817,46.19338819162658,10518.114806483816,8351.416193516183,0.20982007512425688,2,12,2,1,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,10229.63
