date,open,high,low,close,volume,fear_greed,hash_rate,n_transactions
2020-02-24,9936.4,9990.0,9473.56,9656.13,55796.59612,46.0,108969442.265353,328890.0
2020-02-25,9655.52,9675.0,9250.0,9315.84,54379.344552,44.0,111020255.745151,334593.0
2020-02-26,9316.48,9377.44,8633.63,8785.25,92130.345482,41.0,104700775.427287,329967.0
2020-02-27,8786.0,8971.77,8531.0,8823.21,72483.578762,39.0,113169220.498612,338781.0
2020-02-28,8823.25,8900.0,8445.0,8692.91,71155.208977,40.0,121637665.569937,368590.0
2020-02-29,8690.8,8790.0,8523.55,8523.61,36748.183035,38.0,107010351.35583,307527.0
2020-03-01,8523.61,8750.0,8411.0,8531.88,43892.201779,39.0,136264979.784043,309849.0
2020-03-02,8530.3,8965.75,8498.0,8915.24,60401.31773,38.0,114708937.784307,342821.0
2020-03-03,8911.18,8919.65,8651.0,8760.07,55154.997282,38.0,117788372.355698,342324.0
2020-03-04,8760.07,8848.29,8660.0,8750.87,38696.482578,40.0,128566393.355566,358745.0
2020-03-05,8750.99,9159.42,8746.54,9054.68,58201.866355,41.0,125486958.784175,349529.0
2020-03-06,9054.64,9170.0,8985.5,9131.88,43782.948044,39.0,119328089.641393,338383.0
2020-03-07,9130.89,9188.0,8835.0,8886.66,45422.204525,38.0,120867806.927089,313312.0
2020-03-08,8885.25,8886.76,8000.0,8033.31,77537.315166,33.0,121637665.569937,302694.0
2020-03-09,8034.76,8179.31,7632.01,7929.87,116968.863268,17.0,119877105.097528,348211.0
2020-03-10,7929.87,8149.0,7728.01,7894.56,86783.443875,16.0,108616241.391911,329698.0
2020-03-11,7894.57,7980.0,7590.0,7934.52,79942.411172,17.0,97919187.3154346,287492.0
2020-03-12,7934.58,7966.17,4410.0,4800.0,261505.608653,14.0,124250397.349837,349978.0
2020-03-13,4800.01,5955.0,3782.13,5578.6,402201.673764,10.0,102856289.196885,276798.0
2020-03-14,5576.05,5640.52,5055.13,5172.06,136910.135974,8.0,105324840.13761,279828.0
2020-03-15,5172.48,5940.0,5093.1,5361.3,139916.146534,12.0,97919187.3154346,223230.0
2020-03-16,5360.33,5365.42,4442.12,5028.97,227276.92276,9.0,97919187.3154346,270399.0
2020-03-17,5028.86,5525.0,4921.45,5312.64,150089.926318,8.0,101210588.569735,278326.0
2020-03-18,5312.64,5436.17,5009.37,5393.04,137127.634894,11.0,82285031.3575081,231254.0
2020-03-19,5393.26,6400.0,5252.53,6162.37,199020.873439,12.0,88044983.5525337,265689.0
2020-03-20,6162.05,6900.0,5670.0,6208.36,219298.329514,9.0,89690684.1796838,284594.0
2020-03-21,6204.57,6456.98,5860.02,6186.98,128913.668363,9.0,102033438.88331,245896.0
2020-03-22,6187.04,6407.87,5734.01,5816.19,119115.990527,11.0,104501989.824035,209154.0
2020-03-23,5816.05,6600.0,5688.0,6467.31,164674.215785,10.0,92159235.1204091,259816.0
2020-03-24,6465.25,6833.0,6371.33,6744.72,151138.009878,12.0,108616241.391911,278131.0
2020-03-25,6744.69,6957.96,6450.0,6677.43,132155.734989,13.0,75702228.8489074,218176.0
2020-03-26,6677.42,6780.0,6510.0,6737.36,83026.555211,14.0,112492821.358516,292828.0
2020-03-27,6737.27,6842.59,6261.0,6359.11,82914.968354,12.0,107197274.863781,276546.0
2020-03-28,6359.11,6360.0,6024.0,6236.65,93159.693429,8.0,93365368.4297446,240627.0
2020-03-29,6236.65,6266.0,5866.56,5881.42,63311.627714,12.0,104430893.576974,232820.0
2020-03-30,5880.5,6599.0,5857.76,6394.38,118889.549992,10.0,101664512.290166,276828.0
2020-03-31,6394.45,6523.23,6321.4,6410.44,72337.595259,12.0,109963656.150588,290227.0
2020-04-01,6412.14,6679.94,6150.11,6642.92,97500.7524,12.0,105814084.220377,281855.0
2020-04-02,6643.36,7198.0,6551.0,6794.09,149299.906871,14.0,105814084.220377,299176.0
2020-04-03,6793.86,7048.0,6602.1,6734.1,104080.276939,14.0,91290582.4646392,278763.0
2020-04-04,6732.97,6990.41,6650.01,6856.99,72990.861139,12.0,108580465.507185,253274.0
2020-04-05,6857.41,6895.54,6677.52,6772.78,49685.356983,12.0,121029181.297817,240259.0
2020-04-06,6772.78,7355.14,6765.0,7329.9,118052.000832,12.0,88524201.1778319,280470.0
2020-04-07,7329.9,7459.69,7077.0,7197.32,103585.168918,20.0,116188014.045904,312770.0
2020-04-08,7197.32,7420.0,7150.0,7361.28,76059.145838,21.0,103061194.836332,286563.0
2020-04-09,7360.26,7371.92,7108.08,7283.54,61094.872417,22.0,112650577.826398,286706.0
2020-04-10,7283.54,7295.75,6739.98,6858.92,104674.623375,15.0,119234053.153915,288585.0
2020-04-11,6858.92,6944.3,6760.0,6876.83,45470.293206,15.0,116308064.119463,247852.0
2020-04-12,6876.84,7177.0,6780.0,6903.79,73868.666501,10.0,111919080.567785,228529.0
2020-04-13,6903.79,6903.79,6575.0,6837.91,96415.476573,11.0,125086031.222819,288113.0
2020-04-14,6838.04,6978.0,6754.28,6868.7,69068.623285,15.0,122891539.44698,299391.0
2020-04-15,6868.57,6933.0,6605.0,6621.24,61571.384994,18.0,123623036.705593,310253.0
2020-04-16,6621.25,7190.0,6468.27,7101.94,125009.857539,13.0,112650577.826398,322903.0
2020-04-17,7101.99,7148.12,6972.98,7027.55,54126.509763,15.0,92900151.843848,284222.0
2020-04-18,7026.78,7293.08,7014.4,7248.6,49488.542819,18.0,115576566.86085,289134.0
2020-04-19,7248.6,7266.15,7055.6,7120.74,45664.86393,16.0,111187583.309172,251984.0
2020-04-20,7121.4,7220.0,6751.0,6826.83,90149.49137,15.0,117771058.636689,310810.0
2020-04-21,6828.98,6940.0,6762.0,6841.37,60109.710808,17.0,115730561.554044,310851.0
2020-04-22,6841.36,7156.38,6818.0,7125.14,61486.377334,19.0,103923467.233466,278755.0
2020-04-23,7125.12,7738.0,7020.0,7482.39,102773.569561,19.0,112649865.245436,329045.0
2020-04-24,7483.96,7615.96,7388.0,7505.0,60182.119939,20.0,114236483.065795,320055.0
2020-04-25,7505.0,7705.0,7431.07,7538.67,43874.427726,24.0,107890011.784362,280805.0
2020-04-26,7539.03,7700.0,7480.0,7693.1,50522.616209,21.0,108683320.694541,252833.0
2020-04-27,7693.1,7792.02,7606.0,7774.62,65441.339576,28.0,111856556.335257,311217.0
